编号,层,类型,房间,X米,Y米,相对本层Z米,说明,状态,备注
D2-01,2,drain,卫浴,0.68,6.9,0.02,淋浴地漏意向,design_proposal,以排水复测与专业坡向图为准，不代表原排水点
P2-01,2,power,床头,0.17,4.42,0.65,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P2-02,2,power,卫浴镜柜,0.17,5.3,1.18,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
S2-01,2,switch,卧室,3.42,4.93,1.1,卧室入口及床头联控,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-01,3,light,妹妹卧室,1.8,2.1,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-02,3,light,妹妹卫浴,1.2,6.1,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-03,3,light,毛线工作室,1.2,11.4,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-04,3,light,书法房,5.4,10.2,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-05,3,light,过厅,3,8.5,2.93,基础照明,design_proposal,位置为意向；设备、回路与接入由专业深化确认
W3-01,3,water,卫浴,0.15,5.74,0.55,台盆冷热水意向,design_proposal,位置为意向；设备、回路与接入由专业深化确认
D3-01,3,drain,卫浴,0.68,6.9,0.02,淋浴地漏意向,design_proposal,以排水复测与专业坡向图为准，不代表原排水点
P3-01,3,power,床头,0.17,4.42,0.65,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P3-02,3,power,卫浴镜柜,0.17,5.3,1.18,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
S3-01,3,switch,卧室,3.42,4.93,1.1,卧室入口及床头联控,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P1-03,1,power,厨房台面,5.02,14.738,1.12,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P1-04,1,power,厨房台面,6.92,14.738,1.12,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
W1-02,1,water,厨房,5.93,14.66,0.55,水槽冷热水及净水预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
D1-02,1,drain,厨房,5.93,14.66,0.3,水槽/洗碗机排水接入意向,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P1-05,1,power,爸爸操盘房,0.16,10.83,0.95,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
N1-01,1,data,爸爸操盘房,0.16,11.03,0.95,双网口,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P1-06,1,power,电视墙,9.43,6.25,0.4,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P2-03,2,power,主卧床头,7.65,7.16,0.65,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P2-04,2,power,儿童学习桌,3.42,1.95,1.0,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P2-05,2,power,阅读家政区,0.16,9.9,1.1,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P3-03,3,power,毛线工作室,0.16,11.8,1.0,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
P3-04,3,power,书法房,6.46,11.7,0.4,插座预留,design_proposal,位置为意向；设备、回路与接入由专业深化确认
N3-01,3,data,妹妹书桌,3.42,1.65,1.0,双网口,design_proposal,位置为意向；设备、回路与接入由专业深化确认
L3-06,3,light,室外花园,4.16,4.9,0.43999999999999995,遮眩低位花园灯,design_proposal,灯具防护、漏电保护及线缆由电气深化；避免照入邻户
L3-07,3,light,室外花园,7.49,6.15,0.43999999999999995,遮眩低位花园灯,design_proposal,灯具防护、漏电保护及线缆由电气深化；避免照入邻户
W3-02,3,water,露台,6.3,8.36,0.45,花园带阀灌溉接点意向,design_proposal,仅接口意向，原供水点未确认；设检修与防冻策略并防回流
D3-02,3,drain,露台,7.69,6.94,-0.03,排水复测控制点,design_proposal,不是新增地漏施工坐标；先确认原地漏与溢流，不得擅自穿板
L1-12,1,light,室外花园,1.8,-2.9,0.06999999999999995,遮眩低位花园灯,design_proposal,灯具防护、漏电保护及线缆由电气深化；避免照入邻户
L1-13,1,light,室外花园,4.8,-2.9,0.06999999999999995,遮眩低位花园灯,design_proposal,灯具防护、漏电保护及线缆由电气深化；避免照入邻户
L1-14,1,light,室外花园,8.75,1.23,0.06999999999999995,遮眩低位花园灯,design_proposal,灯具防护、漏电保护及线缆由电气深化；避免照入邻户
W1-03,1,water,首层南院,8.88,1.38,0.12,可检修灌溉接口意向,design_proposal,需核实既有给水与冬季排空；与建筑防水及邻界协调
D1-03,1,drain,首层南院,8.95,-2.89,-0.4,院内雨水复测控制点,design_proposal,不代表已确认地漏或雨水接驳，坡向与排水能力需专项复测
