编号,类别,房间,项目,型号货号,数量,单位,预算单价元,初期计入,行金额元,价格类型,核对日期,来源,供货界面,尺寸安装条件,备注
FN-F13,成品家具,R105 餐厅,EKEDALEN 伊克多兰 伸缩型餐桌,IKEA 宜家 EKEDALEN / 503.408.13,1,件,1999,True,1999,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/ekedalen-yi-ke-duo-lan-shen-suo-xing-can-zhuo-xiang-mu-50340813/,伸缩桌及1块加长板；另计：餐椅、保护脚垫及配送组装另计,180×80×75 cm；收拢120×80、展开180×80；按6人展开180计，占地小于模型180×85。六椅采用两侧各2、两端各1，拉椅后核电梯/厨房通路。不要照搬模型同侧3把椅子的摆法。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F14,成品家具,R105 餐厅×6、R303 书法房,EKEDALEN 伊克多兰 软垫椅,IKEA 宜家 EKEDALEN / 203.410.22,7,件,499,True,3493,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/ekedalen-yi-ke-duo-lan-yi-zi-xiang-mu-ou-si-ta-dan-hui-se-20341022/,椅架、座垫和所选罩套；另计：额外罩套、地板保护垫及配送组装另计,45×51×95 cm；座高48。餐厅比模型约47×45深6；布置改2+2+1+1并留后撤。书法椅为坐姿短时使用，站写时移靠墙。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F15,成品家具,R108 爸爸操盘房、R304 妈妈毛线工作室、R301 妹妹卧室,MARKUS 马库斯 人体工学办公椅 小号,IKEA 宜家 MARKUS / 805.887.94,3,件,799,True,2397,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/markus-ma-ku-si-ban-gong-yi-wei-suo-er-shen-hui-se-80588794/,办公椅，含产品配套头枕/扶手；另计：脚踏、地板保护垫及配送组装另计,64×64×129 cm；高度118–129、座高43–54、底盘64×64；比模型普通椅大，必须按真实底盘、后仰及退椅走样；先试坐再定大小号。儿童房这把仅为未来客卧/较大儿童预算，不按幼儿适用宣称。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F17,成品家具,R301 妹妹卧室,MICKE 米克 书桌 105,IKEA 宜家 MICKE / 803.542.76,1,件,699,True,699,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/micke-desk-white-80354276/,书桌及抽屉/柜；不带高架；另计：配送、上楼、组装和额外墙体固定件另核,105×50×75 cm；模型108×55，成品105×50；只买75高版本，不能换成带高架的140高套装。抽屉方向与书桌椅退让现场确认。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F18,成品家具,R206 二层休闲/家政区×3、R108 爸爸操盘房×2,BILLY 毕利 矮书架,IKEA 宜家 BILLY / 905.220.38,5,件,199,True,995,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/billy-bookcase-white-90522038/,单体书架与配套层板；另计：柜门、额外层板、防倾倒基层固定件、配送组装另计,40×28×106 cm；R206三件并排120×28，低于原155×34×190；R108两件并排80。沿原实墙布置，不能堆叠；降低储书量换取通透和可移动性。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F19,成品家具,R304 妈妈毛线工作室×3,BILLY 毕利 / OXBERG 奥克伯 带门书柜,IKEA 宜家 BILLY / 795.283.48,3,件,449,True,1347,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/billy-bi-li-oxberg-ao-ke-bo-dai-ban-bo-li-men-shu-gui-bai-se-bo-li-s79528348/,书架与所选板/玻璃门套装；另计：额外内配、防倾倒基层固定件、配送组装另计,40×30×202 cm；三件120×30×202，较模型毛线柜145×30×190更窄但高12；靠西实墙复核窗帘和墙面电点。柜门有缝，不能称密封柜；毛线加带盖盒。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F20,成品家具,R304 妈妈毛线工作室×12,SAMLA 萨姆拉 附盖储物盒 5L,IKEA 宜家 SAMLA / 194.408.48,12,件,9.99,True,119.88,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/samla-box-with-lid-transparent-19440848/,盒体与盖，合计9.99；不重复加盖价；另计：标签、干燥剂及配送另计,28×20×14 cm；用于按线色/小件分类；横向28、进深20放入30深书柜，每格1盒为基准。非密封防潮箱，勿湿线入柜。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F21,成品家具,R104 客厅、R206 二层休闲/家政区,POÄNG 波昂 单人扶手椅,IKEA 宜家 POÄNG / 192.407.88,2,件,499,True,998,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/poaeng-bo-ang-dan-ren-sha-fa-fu-shou-yi-hua-mu-tie-mian-ji-ni-sa-dan-mi-se-s19240788/,椅框及所选椅垫；另计：脚凳及配送组装另计,68×83×100 cm；真实68×83明显大于模型窗边普通椅，列有条件替代，预留约80×100静态区并核前方起身空间；不得直接声称模型已验证。座高40，对父母须试起坐；如偏低改中高座扶手椅另询价。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F26,成品家具,R305 露台花园,NÄMMARÖ 耐玛瑞 户外长椅,IKEA 宜家 NÄMMARÖ / 105.103.41,1,件,499,True,499,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/naemmaroe-nai-ma-rui-chang-yi-hu-wai-zhao-qian-he-se-qi-10510341/,木长椅；另计：坐垫、家具罩、养护油及配送组装另计,120×40×45 cm；替代G3-B01意向坐凳；按120×40沿原长向放置。与花箱、排水口及门区联合复尺，不贴近边缘形成攀爬踏脚。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F04-D,成品家具,R204 未来儿童房,NESTTUN 奈斯顿 床架 / LURÖY 鲁瑞 90（延后）,IKEA 宜家 NESTTUN / 691.580.26,1,件,699,False,699,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/nesttun-nai-si-dun-chuang-jia-bai-se-lu-rui-69158026/,90×200床架及鲁瑞床板架；另计：床垫、床品及适龄安全配件另列；配送上楼组装另计,96×207×86 cm；模型儿童预留床框110×215；成品96×207。按弹性客卧/较大儿童后期家具作预算，不作为婴儿床或幼儿防坠方案。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F08-D,成品家具,R204 未来儿童房,VALEVÅG 瓦勒沃格 袋装弹簧床垫 90（延后）,IKEA 宜家 VALEVÅG / 404.700.27,1,件,1299,False,1299,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/valevag-wa-le-wo-ge-dai-zhuang-dan-huang-chuang-dian-jia-ying-qian-lan-se-40470027/,单张床垫；另计：床架、床板、床褥、保护垫、床品及配送另计,90×200×24 cm；匹配F04；该项为未来弹性客卧预算，儿童实际使用时按年龄和床架安全要求复选。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F15-D,成品家具,R204 未来儿童房,MARKUS 马库斯 人体工学办公椅 小号（延后）,IKEA 宜家 MARKUS / 805.887.94,1,件,799,False,799,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/markus-ma-ku-si-ban-gong-yi-wei-suo-er-shen-hui-se-80588794/,办公椅，含产品配套头枕/扶手；另计：脚踏、地板保护垫及配送组装另计,64×64×129 cm；高度118–129、座高43–54、底盘64×64；比模型普通椅大，必须按真实底盘、后仰及退椅走样；先试坐再定大小号。儿童房这把仅为未来客卧/较大儿童预算，不按幼儿适用宣称。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F16-D,成品家具,R204 未来儿童房,MICKE 米克 书桌 73（延后）,IKEA 宜家 MICKE / 803.542.81,1,件,399,False,399,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/micke-desk-white-80354281/,小书桌及抽屉；另计：配送、上楼、组装和额外墙体固定件另核,73×50×75 cm；模型90×55；成品73×50可留更多通路。固定75高并不适合所有年龄，儿童实际启用时按身高换桌椅组合。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F20-D,成品家具,R204 未来儿童房×6,SAMLA 萨姆拉 附盖储物盒 5L（延后）,IKEA 宜家 SAMLA / 194.408.48,6,件,9.99,False,59.94,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/samla-box-with-lid-transparent-19440848/,盒体与盖，合计9.99；不重复加盖价；另计：标签、干燥剂及配送另计,28×20×14 cm；用于按线色/小件分类；横向28、进深20放入30深书柜，每格1盒为基准。非密封防潮箱，勿湿线入柜。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F22-D,成品家具,R104 客厅、R206 二层休闲/家政区,GLADOM 格拉登 托盘边桌（延后）,IKEA 宜家 GLADOM / 503.378.20,2,件,79.99,False,159.98,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/gladom-tray-table-white-50337820/,托盘与桌架；另计：配送、上楼、组装和额外墙体固定件另核,45×45×53 cm；室内阅读角可移动边桌，圆形直径45；与POÄNG同时做纸样，不能占主通路。未用作户外耐候家具。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F23-D,成品家具,R109 南院,NÄMMARÖ 耐玛瑞 户外桌（延后）,IKEA 宜家 NÄMMARÖ / 805.112.00,1,件,999,False,999,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/naemmaroe-nai-ma-rui-zhuo-zi-hu-wai-zhao-qian-he-se-qi-80511200/,户外木桌；另计：椅子、家具罩、养护油、配送组装另计,140×75×75 cm；平面140×75小于模型G1-T01的145×78；高度改75餐桌高，配45座高四椅，保留长边两侧各2。不是模型低茶几高度。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F24-D,成品家具,R109 南院×4,NÄMMARÖ 耐玛瑞 户外折叠椅（延后）,IKEA 宜家 NÄMMARÖ / 705.103.43,4,件,299,False,1196,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/70510343/,折叠木椅；另计：坐垫、家具罩、养护油及配送另计,49×50×81 cm；座高45；比示意普通椅略大，配F23复核4把拉椅后到坡道的通路；不用躺椅替换。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-F25-D,成品家具,R109 南院×4,KUDDARNA 库达那 户外椅垫（延后）,IKEA 宜家 KUDDARNA / 805.472.23,4,件,29.99,False,119.96,大陆官网商品详情页显示价；非锁价合同，不计过期会员/优惠价,2026-09-10,https://www.ikea.cn/cn/zh/p/kuddarna-ku-da-na-yi-dian-hu-wai-qian-mi-hui-se-80547223/,单件椅垫；另计：配送、上楼、组装和额外墙体固定件另核,36×32×6 cm；放在44×44的椅座居中系紧，垫小于椅座；雨后收纳晾干；坐高增加约6，须实坐确认。,未设置收货地址；页面存在不代表杭州有库存，付款前由供应商确认本货号、交期与配送
FN-C01,定制家具,R108 爸爸操盘房,爸爸操盘桌,定制尺寸规格，无成品型号,1,件,2500,True,2500,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,活动定制家具；浅木色 / 哑光米白,148×80×76 cm；保留原意向外廓；承重底架、显示器支臂夹具加强、后部线槽、可拆检修和圆角。三屏真实尺寸与支架载荷到货前深化。原梯区未获合法实施条件，不下固定桌订单。,
FN-C02,定制家具,R304 妈妈毛线工作室,妈妈编织工作台,定制尺寸规格，无成品型号,1,件,2200,True,2200,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,活动定制家具；浅木色 / 哑光米白,165×70×76 cm；哑光易擦台面、圆角、桌面下净膝空间；不做妨碍退椅的满深柜。原梯区未明确实施条件，不下固定桌订单。,
FN-C03,定制家具,R303 书法房,书法长案,定制尺寸规格，无成品型号,1,件,4200,True,4200,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,活动定制家具；浅木色 / 哑光米白,194×90×80 cm；194沿模型南北长向；整张哑光稳定台面、可换防墨毡、钢木底架，不靠薄台板直接夹重物。本人站写/坐写确认最终高度；不把概念194尺寸当加工净尺。,
FN-C04,定制家具,R101 父母卧室,父母衣柜,定制尺寸规格，无成品型号,1,件,4000,True,4000,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,165×55×225 cm；模型55为外深，须把背板/门后实际挂衣净深画出来；必要用侧向拉出挂衣杆，不能直接加深压床侧路。,
FN-C05,定制家具,R202 R202,夫妻衣柜,定制尺寸规格，无成品型号,1,件,6500,True,6500,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,240×55×228 cm；本预算包含基础柜体、门、常规铰链和挂衣/层板；不含奢侈五金、复杂灯控。55外深不保证常规平挂净深，内部系统和主卫门开启须深化。,
FN-C06,定制家具,R301 妹妹卧室,妹妹衣柜,定制尺寸规格，无成品型号,1,件,3200,True,3200,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,120×50×220 cm；保持沿东墙方向；50外深用侧向挂衣及折叠分区，未经重排不放60深标准衣柜。,
FN-C07,定制家具,R204 未来儿童房,儿童预留柜（延后）,定制尺寸规格，无成品型号,1,件,2200,False,2200,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,120×50×160 cm；低柜及防倾倒固定，儿童年龄和使用方式未定，延后采购；不可作为攀爬阶梯。,
FN-C08,定制家具,R303 书法房,宣纸与作品收纳柜,定制尺寸规格，无成品型号,1,件,2400,True,2400,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,70×44×90 cm；原模型70×44无法平放模型中68×136的完整宣纸；只可放折纸/册页。完整大纸采用另行设计的立式卷轴筒或在194×90案下设可拆卷存模块，供应商先拿实际纸样；本项不宣称整张平放。,
FN-C09,定制家具,R303 书法房,书法北窗矮柜,定制尺寸规格，无成品型号,1,件,2000,True,2000,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,95×34×92 cm；保持低于已核110窗台；防潮、避日晒，窗帘与窗扇净距复核。,
FN-C10,定制家具,R107 R107,玄关窄鞋柜,定制尺寸规格，无成品型号,1,件,900,True,900,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,木作定制预算（总造价中仅计一次）；浅木色 / 哑光米白,46×28×110 cm；原模型外形仅46×28×110，不足全家全部鞋量；做常用鞋倾斜层板和钥匙收纳，季节鞋进入其他柜体。本项仅这只窄柜。,
FN-C11,定制家具,R305 露台花园,露台轻型换盆台,定制尺寸规格，无成品型号,1,件,1200,True,1200,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,园林固定/定制设施（勿与园林造价重复）；浅木色 / 哑光米白,80×46×85 cm；按最新定位与花箱错开；可拆耐候台面、带沿托盘、收土盒，供水只用经核接口。需承载、防水、排水批准后订。,
FN-C12,定制家具,R305 露台花园,露台小圆茶桌（延后）,定制尺寸规格，无成品型号,1,件,600,False,600,设计概算额度，非供应商报价；需同图同材询价,2026-09-10,,活动定制家具；浅木色 / 哑光米白,56×56×49 cm；直径56小于模型G3-T01约58，台高49延续示意；耐候可移动，不未经复尺换65方桌。,
FN-C13,定制家具,R201 主卧,主卧矮柜,定制尺寸规格，无成品型号,1,件,2200,True,2200,设计概算占位，非供应商报价,2026-09-10,,补回模型已有但旧采购表漏列的柜体；保持床尾通行，按完成面复尺。若总木作合同已含本柜，只计一次。,175×40×74 cm,
FN-C14,定制家具,R206 二层休闲/家政区,家政用品柜,定制尺寸规格，无成品型号,1,件,1500,True,1500,设计概算占位，非供应商报价,2026-09-10,,仅干式清洁用品柜，不含洗烘机包柜或接水改造。原梯区可实施条件明确后订制；若需另找原合法可用墙面，先重新布置。,55×50×185 cm,
FN-C15,定制家具,R303 书法房,完整宣纸与卷轴轻放收纳模块,按实际纸样定制，无成品型号,1,件,800,True,800,设计概算占位，非供应商报价,2026-09-10,,完整未书写宣纸只作宽松卷存预案：大直径圆芯/外套筒和独立分格，不紧卷、不捆压、不以其他物品压纸，避潮、避阳光及热源；实际纸性不适宜卷存或已完成作品，应采用相应平放/装裱收纳并另深化。原70×44柜仅收折纸、册页和小幅纸，不宣称可平放68×136整纸。,待按实物/纸样定尺寸,
FN-A01,家具附加,全屋,床品与保护垫,预算额度，具体清单待采购,1,批,4000,True,4000,预算预留，非商家报价,2026-09-10,,原5000预算中，为未来儿童床划出1000延后；这是预算分配，不是某SKU的核实售价。,地址、物品数量及服务范围待核,
FN-A01-D,家具附加,全屋,床品与保护垫（延后）,预算额度，具体清单待采购,1,批,1000,False,1000,预算预留，非商家报价,2026-09-10,,原5000预算中，为未来儿童床划出1000延后；这是预算分配，不是某SKU的核实售价。,地址、物品数量及服务范围待核,
FN-A02,家具附加,全屋,家具配送、上楼、组装与基层固定,预算额度，具体清单待采购,1,批,2500,True,2500,预算预留，非商家报价,2026-09-10,,送装不因少买几件自动等比例下降；分期可能产生第二次配送费，付款前单独核价。,地址、物品数量及服务范围待核,
FN-A03,家具附加,全屋,维护、保护与收纳小件,预算额度，具体清单待采购,1,批,1000,True,1000,预算预留，非商家报价,2026-09-10,,保留户外坐凳及常用物件的必要保护维护额度，不提前购买未下单桌椅的专用家具罩。,地址、物品数量及服务范围待核,
