编号,类别,房间,项目,型号货号,数量,单位,预算单价元,初期计入,行金额元,价格类型,核对日期,来源,供货界面,尺寸安装条件,备注
AP-A11,卫浴洁具,R102 父母卫浴、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,四处淋浴分档配置,九牧26195恒温款×2（父母/主卫）；36669亮银1B普通款×2（儿童/妹妹）,1,组,7000,True,7000,套组预算：2×2400+2×1100；网页促销/颜色/安装条件不一致，未把低起价当四套安装总价,2026-09-10,https://www.ejomoo.com/item/26195.htm,"两套26195恒温完整花洒与两套36669普通完整花洒及基础安装附件的整组预算；另计：淋浴玻璃、地漏、防水、结构钻孔；原14,000元四套TOTO预算仅作为升级备选，不与本项相加；组成：九牧26195 ×2；九牧36669 亮银1B ×2",保持4处原淋浴位置。父母和主卫采用恒温、带手持的26195；其他两间采用可维护的普通混水花洒。公卫不加淋浴。；26195页面列36厘米置物台与30厘米顶喷；勿把26209的45厘米台/32厘米顶喷误当26195，完整安装图仍待厂家提供；36669亮银1B在官网明确不包安装，预算须留出人工；不可只看枪灰包安装标题；取得整套手持、软管、阀体清单和冷热管距/高度图，按三楼动态水压及实际热水能力确定是否可用恒温款；普通混水花洒与热源控温一起调试，设置家庭合适热水温度并试用，不假定省掉恒温阀即可忽略烫伤风险,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A12,卫浴洁具,R106 厨房,厨房不锈钢单槽+抽拉龙头,宜家 LÅNGUDDEN 491.574.81 + MAJSJÖN 606.104.61,1,组,1848,True,1848,中国官方商城显示价：549+1299,2026-09-10,https://www.ikea.cn/cn/zh/p/langudden-lan-jia-dun-qian-ru-shi-shui-cao-dai-1-ge-cao-bu-xiu-gang-s49157481/,单槽+配套下水549元，抽拉龙头1299元；另计：安装人工、角阀、胶、台面加工和洗碗机配管改造,采用500×400毫米内盆方便锅具清洗；模型水槽仍是示意，600毫米柜体与540×510毫米台面开孔须由橱柜深化在原厨房内确认。；水槽官网含LILLVIKEN排水及洗碗机接口；按说明连接并做满水、排水渗漏试验；抽拉龙头重锤和软管应有自由行程，不被垃圾桶/洗碗机接口卡住；龙头可安装台面厚度≤55毫米；台面前后实边、龙头孔与水槽开孔保持厂家要求间距,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A13,照明,全屋P02基础灯位 全屋P02基础灯位,30个基础灯位：国产简洁主灯及适用湿区/户外灯,室内干区米家D40×4、D30×14作可调光系列候选；厨房/卫浴/户外按防护选型,1,组,8990,True,8990,细项设计预算：D40 4×430+D30 14×330+厨房2×200+卫浴5×200+户外5×250；并非厂家当前报价,2026-09-10,https://www.mi.com/shop/buy/detail?cfrom=search&product_id=22569,30套基础灯具预算；每个功能位置保留，有效减少品牌/装饰溢价；另计：照明电线、开关插座和人工归施工合同；A14工作灯、A15床头灯、A19补光另计；组成：米家D40中国版候选 ×4；米家D30中国版候选 ×14；防护/清洁性与照度选型待定 ×2；按湿区安装分区选型 ×5；合格防雨灯，优先IP65并核实际工况 ×5,保留P02全部30个基础灯位，不统一每处装同样大的灯。18个干区以国产D系列作为供货候选，按原位逐区计算照度后确定D30/D40数量组合；4+14是数量预算，不是已验证照度。；官方入口已确认L60、D40和D30套系存在，未取得有效单灯现价；上述430/330为预算，不沿用2024首发价；干区候选需供应商提交准确中国版本、外形、光通量、调光调色和安装说明；不将港台版参数直接用于大陆采购；湿区和户外仍独立预算并核安装分区防护，米家普通干区灯不能替代；厨房/卫浴灯宜简洁易清洁；不做无主灯满吊顶，不增加装饰线性灯；保留足够照度、好显色与可维护接线。开关/驱动兼容性须按最终型号确认,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A14,照明,R303 书法房、R304 妈妈毛线工作室、R108 爸爸操盘房、R204 未来儿童房、R301 妹妹卧室,六盏功能工作台灯,明基 WiT 2023/e-Reading 圆底座款×3；米家台灯Pro MJTD02YL×3,1,组,6300,True,6300,明基3×1600、米家3×500均为预算预留；本次未核实有效现价,2026-09-10,https://www.benq.com.cn/zh-cn/lighting/e-reading-desk-lamp/e-reading/spec.html,6盏桌灯设备预留，配原厂电源适配器；另计：额外夹座/支架、智能网关、家具和线路；组成：BenQ WiT 2023 圆底座款 ×3；米家台灯Pro MJTD02YL ×3,书法1940毫米桌放2盏WiT分区照明，毛线工作1650毫米桌1盏照实际工作区；操盘、妹妹及未来儿童桌各1盏米家。并非1盏保证整张大桌全部达标。；明基官方90厘米宽500lux是特定安装高度的测试条件，现场按书写手别、纸面反射与照度测量摆灯；米家MJTD02YL规格仍可核查但当前中国库存待确认，若停产换同等显色/稳定性产品并复核报价；操盘桌灯避开显示器反光和支架运动；儿童桌灯电线固定避免拖拽；花房毛线区必须为干燥室内工作区域，普通台灯不放浇水或雨淋处,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A15,照明,R101 父母卧室、R201 主卧、R204 未来儿童房、R301 妹妹卧室,六盏床头阅读灯及光源,宜家 NYMÅNE 603.569.88 白色 + 兼容可调光GU10灯泡,6,套,189,True,1134,灯体官方149元；每只可调光GU10灯泡预算40元,2026-09-10,https://www.ikea.cn/cn/zh/p/nymane-niu-mo-nai-bi-deng-yue-du-deng-bai-se-60356988/,灯体6×149与6只合适光源预算240；另计：床头电源插座、墙内线路和安装人工,父母两侧2、夫妻两侧2、妹妹1、未来儿童1；壁挂高度以床头实际坐姿与伸手距离定，避免灯体进入通道。；只能搭配可调光GU10光源且不超过8.5W，预算光源不是已定厂牌SKU；配有电线，床头插座与开关操作距离在点位深化中补足；宜家不含墙面安装螺钉，按基层配锚固；儿童位置固定软线,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-A16,冷暖热水排风,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,四处淋浴暖风排风+公卫排风，功能实用款,国内常规暖风/排风机型待浴室风量、湿区与吊顶净空选型,1,系统,4500,True,4500,数量拆分预算：四套900元+公卫300元+常规管道止逆安装600元；未取得项目设备报价,2026-09-10,,4套普通暖风排风、1套公卫排风、常规风管止逆和安装的预算；另计：专用电源线路由电气施工计；需要长管/高阻力或特殊吊顶时重新核报价，不削减必要风量；组成：淋浴间暖风排风 ×4；公卫排风 ×1；常规风管/止逆/安装 ×1,按4处淋浴卫浴+1处公卫计；此项含风机，不应重复计到空调室内机数量。；按排风管长、阻力、补风及实际湿区选型，确认风量/噪声；暖风取电负荷、专用控制、止逆和排至合法室外的路径一起深化；不与烟道混用，不向封闭采光井任意排湿；不得占窗洞,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A17,冷暖热水排风,R101 父母卧室、R108 爸爸操盘房、R201 主卧、R204 未来儿童房、R301 妹妹卧室、R303 书法房、R304 妈妈毛线工作室、R104/R105 R104/R105,按八个使用分区预留的独立分体空调,七个房间挂机+一个公共区柜机的数量预算；海尔KFR-35GW/EC1-1及KFR-72LW/E1-1仅为价格/安装尺寸锚点,1,系统,30592,True,30592,七台挂机官方参考2599×7=18193；一台柜机官方参考6399；附加安装及容量调整预留6000，共30592。尚未做热负荷选型。,2026-09-10,https://www.haier.com/air_conditioners/20260707_292886.shtml,8个使用分区的设备参考预算及6000元附加安装/容量调整预留；其中冷媒管与排水必须按实际长度结算；另计：新风、地暖、全屋除湿、电表增容和外墙结构施工；中央/多联系统作为替换升级方案，不叠加；组成：KFR-35GW/EC1-1，容量待逐房核定 ×7；KFR-72LW/E1-1，容量与一机覆盖条件待核 ×1；按实际管长、支架、检修及最终容量核算 ×1,按父母、操盘、夫妻、未来儿童、妹妹、书法、毛线七个可关门房间及客餐公共区共八分区列预算。原图外立面能否容纳八台室外机尚未确认，不代表已批准机位；衣帽区和走廊不另机械加空调。；逐房按围护/玻璃、朝向遮阳、层高、人员电脑及通风计算夏季冷负荷和冬季热负荷；不能凭2599元价格把七间强定为1.5匹；客厅与餐厅是否能用同一公共区机组由实测连通性、送风路径和负荷决定；不足时调整数量/容量，从预留并重新报价；八台室外机的合法机位、维护通道、散热短路、外观/邻户噪声和冷凝排水需先确认；不足则比较小多联或局部风管，不能挡门窗；设备参考总价24592与安装预留6000分列；标准安装若本已包含不得再次收同项，超长铜管、支架、墙孔等按实际明细；未来儿童房若暂空置可先做套管、电源和排水，延后购一台；主推荐为长期预算仍保留该台，不虚报节约,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A18,冷暖热水排风,R102 父母卫浴、R103 一层公卫、R106 厨房、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴,三层生活热水：单热源+必要保温/按需回水预算,有合适天然气条件时，以海尔JSQ38-20HT5DPXGU1 20L为价格/尺寸候选；系统最终容量待同时用水计算,1,系统,10000,True,10000,单机官方参考3599+按需回水/阀控预留2400+安装排烟附材1500+保温/调试/能力调整2501；共10000元。非全屋性能承诺。,2026-09-10,https://www.haier.com/water_heaters/rqrsq/20241216_254014.shtml,一种热源、按需循环/阀控的必要设备预留及常规安装/排烟附材、保温和调试；另计：给水总包若已含管路/保温须扣重；燃气开户/增容、外立面工程、异常大储热系统；不是指定20L一定够用；组成：JSQ38-20HT5DPXGU1 ×1；按最终厂家兼容方案选定 ×1；安装与排烟附材 ×1；保温/调试/能力调整 ×1,毛坯阶段优先把热水管与可行回水路径、保温一起设计，减少三层等待。仍保留4个淋浴点，但20L单机不是四淋浴可同时开放的保证；如果家庭要求冬季两/三处持续同时淋浴，需升容或改储热系统。；确认入户天然气容量、合法排烟位置和最不利三楼动态水压；若无燃气，改空气能储热方案并按机位/负荷重新报价，不套用本主预算；按冬季进水温度与设定出水温差、两人同时用水期望和实际花洒流量计算；标称20L/min取决于标准测试温升，现场可用流量会变；回水采用按需控制，厂家须书面确认本机能配所选循环方案，不随意外加泵；若不兼容则更换同等级合适热源并重核价；公共热水长支路做合理保温和维护口；无需自动全天循环、全屋每点都追求瞬热，不以省钱取消必要控温；保留当前四处淋浴供水但不强制全部同时；若用户明确同时用水需求超出单热源能力，要在采购冻结前调整,推荐预算候选；须完成现场复尺、厂家安装图、中国版本/本地库存和书面含税报价确认。
AP-A19,照明,R102 父母卫浴、R103 一层公卫、R203 主卫、R205 儿童卫浴、R302 妹妹卫浴、R106 厨房、卧室至卫浴干区通道 卧室至卫浴干区通道,镜前、厨房台面及起夜补光,卫浴镜前灯待防护区位选型；MITTLED 404.554.23干区候选；米家夜灯2 MJYD02YL,1,组,2410,True,2410,镜前5×250+厨房台面补光800+6个夜灯×60；均为整组预算，其中灯条有79.99元/条公开对照价,2026-09-10,https://www.ikea.cn/cn/zh/p/mittled-led-kitchen-worktop-lighting-strip-dimmable-white-40455423/,5组镜前灯预算1250；厨房灯条/驱动/连接线预算800；6只感应夜灯预算360；另计：固定布线及灯具安装归电气施工；型号替换后重核差额；组成：按安装区位防护待定 ×5；MITTLED 404.554.23 ×4仅干区候选；湿区替换 ×1；米家夜灯2 MJYD02YL ×6,这组为原30个基础灯位之外的功能补光预留：镜前5组、厨房拟2.4米灯条、干燥通道低位夜灯6只；位置与长度须随最终柜体/照度深化确认。；镜前灯必须按湿区分区选择防护等级和合规固定接线，不能用IP20厨下灯替代；MITTLED 60厘米条5.5W、2700K、CRI>90、IP20，只能作经确认无溅水的干燥台面位置候选；水槽上方等位置另换满足实际防护条件产品；按4条共22W选择兼容且容量足够的TRÅDFRI驱动器及VÅGDAL/FÖRNIMMA线材，驱动器不埋死；800元组价包含配套设备预留；MJYD02YL使用3节AA电池，作为便利夜灯；安装于干区，不能替代应急照明，电池固定防儿童接触,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
AP-NET01,生活家电,,三层有线回程 Wi-Fi 设备与初次配置,TP-LINK TL-XDR3010 易展版 ×3 + TL-SG1008D ×1,1,组,1250,True,1250,编制预算预留；未核实当前在售价格，不是官网报价,2026-09-10,https://www.tp-link.com.cn/product_2025.html?source=search,全新路由器 3 台、交换机 1 台及原配电源，短跳线组预算 100 元，初次设备配置预算 200 元。均为预留价格，含税/运输须书面报价确认。；另计：永久布线及端接、强电插座、金属弱电箱、运营商宽带月费和光猫费用、NAS、UPS、摄像头。不假定复用原有路由器或交换机。；组成：TL-XDR3010 易展版（中国版） ×3；TL-SG1008D（中国版，硬件版本待采购核实） ×1；长度与根数随弱电柜、路由点及终端清单确定 ×1；服务暂列 ×1,按每层一台起步，共三台全新设备。具体放置点尚未落实到施工图；必须在装修前选定开敞通风位置并布线，完工后测书法、操盘、卧室等重点房间的覆盖与漫游。此数量不是无死角覆盖保证。；光猫/运营商入户接口 → 一层主路由 WAN → 主路由 LAN 下接交换机 → 二、三层节点及有线终端，采用六类线星形回路；按厂家易展有线组网步骤完成配对，避免误接回环。；仅主路由承担本户 DHCP/NAT；若运营商光猫不能桥接，由安装人员统一规划网关/AP 模式，避免无意双重路由。；三台路由器、交换机及运营商光猫均需要适合本地的电源位；不把 Wi-Fi 节点封入金属弱电箱，不紧贴电梯井或强弱电配电设备。；由施工单位确认回线端口数。8 口交换机扣除主路由上联和 2 个楼层节点后余 5 口，可给电视和电脑使用；如端口清单超过容量，采购前调整交换机。；当前方案的有线链路为千兆，适合千兆及以下宽带基准；无线标称速率不能当作每个终端实测速率。超过千兆宽带或大量 NAS 传输需要另算 2.5G 升级，不计入本方案。；永久网线、管路、面板、端接和固定线路验收应归硬装弱电项，本项仅新增设备、短跳线与初次设备配置。,候选，须复核本地库存、准确硬件/配件版本与含税书面报价，完成现场方案后采购
AP-LAU01,生活家电,,洗烘原厂叠放连接件预留,尚未核定：须匹配 G10090BD12S + GA120-58E1U1 的海尔认可连接件,1,组,450,True,450,编制预算预留；未核实当前在售价格，不是官网报价,2026-09-10,https://www.haier.com/laundry/20240604_238924.shtml,仅连接件配件费暂列 450 元，无真实型号和官方现价背书。；另计：洗衣机、烘干机整机；水电防水改造；搬运与叠放安装人工。人工由 H30/H21 或厂商书面报价明确后只计一次。,两台宽度均为 595 mm 不足以证明可以叠放。未找到该精确型号组合的官方叠放连接件 SKU，也未核实允许的固定方式及整体安装尺寸；保留采购暂停点。；海尔售后/安装方须书面确认两台精确型号可叠放、原厂连接件型号和安装净空。；原厂不认可此组合时，不得直接叠放；改为认可套装或依法落位的并排方案，并重新核价和复尺。；洗衣位置只能在落实后的合法湿区及已核实给排水、防水与接地电源条件中安装，不以新增楼板穿孔或未经确认的旧楼梯位置为前提。,候选，须复核本地库存、准确硬件/配件版本与含税书面报价，完成现场方案后采购
AP-O01,可选设备,R304 妈妈毛线工作室、R206 二层休闲/家政区,可移动除湿机（延后）,米家智能除湿机22L 中国版,1,台,1499,False,1499,可选预算；本次未核实准确SKU当前售价与中国版完整外形,2026-09-10,https://www.mi.com/shop/buy/detail?product_id=22032,1台设备预留；另计：连续排水管路改造与全屋除湿系统,毛线干燥储藏/梅雨期轮换使用；22L为标称量，实际杭州低温高湿条件能力需看测试温湿度，不当全屋除湿保证。；接地电源，机器四周进出风和水箱取出空间按中国版说明书；默认水箱手动倒水；若连续排水，须合法排水点和防倒灌，不能随意向花房地面滴水,本轮搜索摘要识别为目标商品，但直接打开相同product_id存在标题不一致/缓存差异；作为型号检索线索，不能当已验证可直接下单链接。延期；先重新核对中国版本型号和官方有效商品页。
AP-O02,可选设备,R104 客厅,扫拖机器人（延后）,米家扫拖机器人5 水箱版,1,台,3299,False,3299,可选预算；中国官网确认产品名称，未核实当前到手价,2026-09-10,https://www.mi.com/shop/buy/detail?product_id=18340,1台机器和水箱版基站预留；另计：上下水套件、额外楼层基站和耗材续购,先在1层安排一套水箱基站；多层靠人工搬运机器，不能假定机器人会乘电梯或自动跨层。无完整尺寸前不把基站封入柜。；实测基站外廓、前方驶出净空和开盖取水高度；水箱版只需合适电源与人工补水倒水，不增未批准的上下水；验证门槛、地毯和家具底部净高，电梯门及高差区域做防跌落和边界测试,本轮搜索摘要识别为目标商品，但直接打开相同product_id存在标题不一致/缓存差异；作为型号检索线索，不能当已验证可直接下单链接。延期；先重新核对中国版本型号和官方有效商品页。
AP-O03,optional_office,R108 爸爸操盘房,操盘显示器与UPS组合（延后）,Dell Pro P 24 P2426H ×3；UPS待实际功率与运行时间选型,1,组,5407,False,5407,显示器官方969×3；UPS预算2000、线材/支架预留500,2026-09-10,https://www.dell.com/zh-cn/shop/dell-pro-p-24-%E6%98%BE%E7%A4%BA%E5%99%A8-p2426h/apd/210-bvqh/%E6%88%B4%E5%B0%94%E6%98%BE%E7%A4%BA%E5%99%A8,3台显示器显示价2907、UPS预留2000、线材或必要支架预留500；另计：交易软件订阅、电脑、网络月租；UPS型号尚未确定，金额为独立预算,爸爸桌1480×800毫米。三个横屏并列宽1615.92毫米超出桌宽；建议中间横屏+两侧竖屏，机身理论宽1167.10毫米另加间隙，仍需按支架、旋转和坐姿复核。；P2426H支持旋转，1080p/120Hz；确认电脑有三个独立视频输出或合适扩展坞，不把USB-C充电口当视频菊链；UPS按电脑、3屏和网络设备实际W、目标约10分钟关机续航及插头规格选中国合规在售型号；UPS不带空调、打印机大负载或电梯；桌下留散热和维护空间；若原操盘电脑/显示器可复用，整项可推迟；本项不包含新电脑,候选清单，完成现场复尺、安装图与本地库存/含税书面报价核对后才可下单
